INTERVALSTARTTIME_GMT,MWh_buy,MWh_sell,MW_buy
00:00:00,58.412882857142854,57.665882857142854,0.0
00:05:00,56.67171285714286,55.92471285714286,0.0
00:10:00,55.13006428571428,54.38306428571428,0.0
00:15:00,54.088882857142856,53.34188285714286,0.0
00:20:00,53.01829285714286,52.27129285714285,0.0
00:25:00,52.39661,51.64961,0.0
00:30:00,51.90825857142857,51.16125857142857,0.0
00:35:00,51.52847142857143,50.78147142857143,0.0
00:40:00,50.65593571428571,49.90893571428571,0.0
00:45:00,49.64496142857143,48.89796142857143,0.0
00:50:00,49.60971571428571,48.86271571428572,0.0
00:55:00,49.74826142857143,49.001261428571425,0.0
01:00:00,55.33980714285714,54.59280714285715,0.0
01:05:00,56.049661428571426,55.302661428571426,0.0
01:10:00,55.327189999999995,54.58019,0.0
01:15:00,54.90512714285715,54.15812714285715,0.0
01:20:00,54.53702,53.79001999999999,0.0
01:25:00,53.64499285714286,52.89799285714285,0.0
01:30:00,54.356994285714286,53.609994285714286,0.0
01:35:00,54.27782428571429,53.53082428571429,0.0
01:40:00,53.871300000000005,53.1243,0.0
01:45:00,53.32063,52.573629999999994,0.0
01:50:00,53.0683,52.3213,0.0
01:55:00,53.05809,52.31109,0.0
02:00:00,56.193844285714285,55.446844285714285,0.0
02:05:00,55.54613714285715,54.79913714285715,0.0
02:10:00,54.83192285714286,54.084922857142864,0.0
02:15:00,54.22427,53.47727,0.0
02:20:00,53.507127142857144,52.76012714285714,0.0
02:25:00,53.29920142857143,52.55220142857143,0.0
02:30:00,53.602517142857145,52.85551714285714,0.0
02:35:00,53.16916714285714,52.42216714285714,0.0
02:40:00,52.76754857142857,52.02054857142857,0.0
02:45:00,52.12842428571429,51.38142428571429,0.0
02:50:00,51.86959285714285,51.122592857142855,0.0
02:55:00,51.76426714285714,51.01726714285714,0.0
03:00:00,52.637707142857145,51.890707142857146,0.0
03:05:00,51.94964142857143,51.20264142857143,0.0
03:10:00,52.18393857142856,51.43693857142858,0.0
03:15:00,52.103025714285714,51.356025714285714,0.0
03:20:00,51.87847,51.13147,0.0
03:25:00,51.69291,50.945910000000005,0.0
03:30:00,52.16164285714286,51.41464285714286,0.0
03:35:00,52.09612285714286,51.34912285714285,0.0
03:40:00,51.94396142857143,51.196961428571434,0.0
03:45:00,51.76300571428572,51.01600571428571,0.0
03:50:00,51.7266,50.9796,0.0
03:55:00,51.814621428571435,51.06762142857143,0.0
04:00:00,53.014658571428576,52.26765857142857,0.0
04:05:00,52.574891428571426,51.82789142857143,0.0
04:10:00,53.144055714285706,52.39705571428571,0.0
04:15:00,53.063112857142855,52.316112857142855,0.0
04:20:00,52.537702857142854,51.790702857142854,0.0
04:25:00,52.422219999999996,51.67522,0.0
04:30:00,52.54295428571429,51.79595428571429,0.0
04:35:00,52.68830857142857,51.94130857142857,0.0
04:40:00,53.09249714285714,52.34549714285714,0.0
04:45:00,52.95804142857143,52.21104142857143,0.0
04:50:00,53.50011714285714,52.75311714285714,0.0
04:55:00,54.51905,53.77205,0.0
05:00:00,52.51371857142857,51.76671857142857,0.0
05:05:00,53.02568714285714,52.278687142857144,0.0
05:10:00,53.82535857142857,53.07835857142857,0.0
05:15:00,53.91178000000001,53.16478,0.0
05:20:00,54.93386714285714,54.18686714285714,0.0
05:25:00,55.89215,55.14515,0.0
05:30:00,56.68719142857143,55.94019142857143,0.0
05:35:00,57.24299571428571,56.49599571428571,0.0
05:40:00,58.093630000000005,57.346630000000005,0.0
05:45:00,59.425872857142856,58.678872857142856,0.0
05:50:00,60.105132857142856,59.358132857142856,0.0
05:55:00,62.43434571428571,61.68734571428571,0.0
06:00:00,55.63282,54.88582,0.0
06:05:00,55.71467714285715,54.96767714285714,0.0
06:10:00,56.82384857142857,56.07684857142857,0.0
06:15:00,60.73469285714286,59.98769285714286,0.0
06:20:00,61.27365285714286,60.52665285714285,0.0
06:25:00,63.015892857142866,62.26889285714286,0.0
06:30:00,64.31903857142858,63.57203857142857,0.0
06:35:00,66.68362142857143,65.93662142857143,0.0
06:40:00,67.61053285714286,66.86353285714286,0.0
06:45:00,69.59304571428571,68.84604571428572,0.0
06:50:00,70.15144714285715,69.40444714285715,0.0
06:55:00,71.76241428571429,71.01541428571429,0.0
07:00:00,67.96157714285714,67.21457714285714,0.0
07:05:00,68.85281571428571,68.10581571428571,0.0
07:10:00,71.86665428571429,71.11965428571429,0.0
07:15:00,75.00244714285714,74.25544714285715,0.0
07:20:00,76.17057857142856,75.42357857142858,0.0
07:25:00,77.21063428571428,76.46363428571429,0.0
07:30:00,79.64299142857143,78.89599142857142,0.0
07:35:00,83.26098857142857,82.51398857142856,0.0
07:40:00,88.63879142857142,87.89179142857142,0.0
07:45:00,108.23225714285715,107.48525714285714,0.0
07:50:00,200.13862285714282,199.39162285714286,0.0
07:55:00,196.26644714285712,195.51944714285713,0.0
08:00:00,202.18299571428568,200.0,0.0
08:05:00,198.4852657142857,197.73826571428572,0.0
08:10:00,197.09835142857142,196.35135142857143,0.0
08:15:00,90.42107,89.67407,0.0
08:20:00,91.23945285714285,90.49245285714285,0.0
08:25:00,80.98982428571428,80.24282428571428,0.0
08:30:00,91.56221285714287,90.81521285714287,0.0
08:35:00,72.92892142857143,72.18192142857143,0.0
08:40:00,63.48108142857143,62.73408142857143,0.0
08:45:00,55.175135714285716,54.42813571428571,0.0
08:50:00,50.09600285714286,49.34900285714286,0.0
08:55:00,50.17845714285714,49.43145714285714,0.0
09:00:00,54.41181,53.664809999999996,0.0
