INTERVALSTARTTIME_GMT,MWh_buy,MWh_sell,MW_buy
10:20:00,93.17484099999999,92.427841,0.0
10:25:00,86.668161,85.92116100000001,0.0
10:30:00,99.59204,98.84504000000001,0.0
10:35:00,84.011021,83.264021,0.0
10:40:00,80.524985,79.777985,0.0
10:45:00,100.782416,100.035416,0.0
10:50:00,89.07363000000001,88.32663,0.0
10:55:00,84.15182,83.40482,0.0
11:00:00,106.32131999999999,105.57431999999999,0.0
11:05:00,104.173731,103.42673099999999,0.0
11:10:00,103.446248,102.69924799999998,0.0
11:15:00,105.641381,104.894381,0.0
11:20:00,103.07690099999999,102.32990099999999,0.0
11:25:00,102.218345,101.471345,0.0
11:30:00,100.465529,99.718529,0.0
11:35:00,94.551271,93.804271,0.0
11:40:00,88.536253,87.789253,0.0
11:45:00,91.809537,91.06253699999999,0.0
11:50:00,85.40165999999999,84.65466,0.0
11:55:00,86.697413,85.950413,0.0
12:00:00,90.16273199999999,89.415732,0.0
12:05:00,81.295105,80.54810499999999,0.0
12:10:00,82.68552600000001,81.938526,0.0
12:15:00,83.562583,82.815583,0.0
12:20:00,82.738906,81.991906,0.0
12:25:00,79.867621,79.120621,0.0
12:30:00,66.224962,65.477962,0.0
12:35:00,66.396871,65.64987099999999,0.0
12:40:00,65.193556,64.446556,0.0
12:45:00,79.56899899999999,78.82199899999999,0.0
12:50:00,75.532792,74.785792,0.0
12:55:00,73.191381,72.44438099999999,0.0
13:00:00,78.168927,77.42192700000001,0.0
13:05:00,73.412558,72.665558,0.0
13:10:00,71.288246,70.541246,0.0
13:15:00,65.25800799999999,64.511008,0.0
13:20:00,62.052915,61.305915000000006,0.0
13:25:00,64.13660999999999,63.389610000000005,0.0
13:30:00,65.61514700000001,64.868147,0.0
13:35:00,65.046138,64.299138,0.0
13:40:00,64.677851,63.930851,0.0
13:45:00,68.821508,68.07450800000001,0.0
13:50:00,69.057093,68.310093,0.0
13:55:00,68.445656,67.698656,0.0
14:00:00,74.385327,73.638327,0.0
14:05:00,73.332862,72.58586199999999,0.0
14:10:00,74.125607,73.378607,0.0
14:15:00,70.137743,69.390743,0.0
14:20:00,72.971028,72.224028,0.0
14:25:00,74.026333,73.279333,0.0
14:30:00,74.421937,73.674937,0.0
14:35:00,74.44074800000001,73.693748,0.0
14:40:00,74.442579,73.695579,0.0
14:45:00,73.499904,72.752904,0.0
14:50:00,74.130775,73.383775,0.0
14:55:00,74.988446,74.241446,0.0
15:00:00,59.810571,59.063571,0.0
15:05:00,64.036889,63.289888999999995,0.0
15:10:00,66.36192600000001,65.614926,0.0
15:15:00,60.38578700000001,59.638787,0.0
15:20:00,64.802584,64.055584,0.0
15:25:00,63.697375,62.950374999999994,0.0
15:30:00,59.36975700000001,58.622757,0.0
15:35:00,65.42304899999999,64.676049,0.0
15:40:00,68.734539,67.987539,0.0
15:45:00,68.42679,67.67979,0.0
15:50:00,73.15017300000001,72.403173,0.0
15:55:00,68.646582,67.899582,0.0
16:00:00,44.218694,43.471694,0.0
16:05:00,33.055265000000006,32.308265,0.0
16:10:00,35.084357999999995,34.337358,0.0
16:15:00,37.267677000000006,36.520677,0.0
16:20:00,52.32108800000001,51.574088,0.0
16:25:00,66.534918,65.787918,0.0
16:30:00,73.840981,73.093981,0.0
16:35:00,88.60143400000001,87.854434,0.0
16:40:00,97.328723,96.581723,0.0
16:45:00,106.65878000000001,105.91178,0.0
16:50:00,113.79505900000001,113.04805900000001,0.0
16:55:00,112.602861,111.855861,0.0
17:00:00,97.132975,96.385975,0.0
17:05:00,97.60363,96.85663,0.0
17:10:00,101.50229200000001,100.755292,0.0
17:15:00,107.19976100000001,106.45276100000001,0.0
17:20:00,114.691076,113.944076,0.0
17:25:00,123.513895,122.766895,0.0
17:30:00,123.91253800000001,123.16553800000001,0.0
17:35:00,135.56300700000003,134.81600699999998,0.0
17:40:00,152.0817,151.3347,0.0
17:45:00,163.022505,162.275505,0.0
17:50:00,182.14498500000002,181.397985,0.0
17:55:00,194.717974,193.970974,0.0
18:00:00,121.04795000000001,120.30095000000001,0.0
18:05:00,122.509307,121.762307,0.0
18:10:00,123.491415,122.744415,0.0
18:15:00,127.379864,126.632864,0.0
18:20:00,128.824422,128.077422,0.0
18:25:00,130.946075,130.199075,0.0
18:30:00,134.109955,133.362955,0.0
18:35:00,132.224585,131.477585,0.0
18:40:00,131.48281500000002,130.735815,0.0
18:45:00,130.85736300000002,130.110363,0.0
18:50:00,128.812356,128.065356,0.0
18:55:00,126.07885000000002,125.33185,0.0
19:00:00,131.874151,131.127151,0.0
19:05:00,126.21551099999999,125.46851099999999,0.0
19:10:00,125.209845,124.46284499999999,0.0
19:15:00,126.31083700000002,125.56383699999999,0.0
19:20:00,126.62652600000001,125.87952599999998,0.0
19:25:00,127.35704500000001,126.61004499999999,0.0
19:30:00,127.849123,127.102123,0.0
19:35:00,128.034655,127.287655,0.0
19:40:00,126.43534700000001,125.688347,0.0
19:45:00,126.318012,125.571012,0.0
19:50:00,126.37720900000002,125.630209,0.0
19:55:00,125.594982,124.847982,0.0
20:00:00,137.940853,137.193853,0.0
20:05:00,133.656318,132.909318,0.0
20:10:00,131.015247,130.268247,0.0
20:15:00,129.584206,128.83720599999998,0.0
20:20:00,130.279526,129.53252600000002,0.0
20:25:00,132.071862,131.324862,0.0
20:30:00,132.348811,131.601811,0.0
20:35:00,131.543699,130.796699,0.0
20:40:00,130.534759,129.787759,0.0
20:45:00,129.45520000000002,128.70819999999998,0.0
20:50:00,129.510681,128.763681,0.0
20:55:00,129.431512,128.68451199999998,0.0
21:00:00,135.28017400000002,134.533174,0.0
21:05:00,133.981263,133.234263,0.0
21:10:00,130.513886,129.766886,0.0
21:15:00,129.92081000000002,129.17381,0.0
21:20:00,129.075891,128.328891,0.0
21:25:00,131.014055,130.267055,0.0
21:30:00,129.450735,128.703735,0.0
21:35:00,129.264765,128.517765,0.0
21:40:00,128.96337499999998,128.216375,0.0
21:45:00,128.06607200000002,127.319072,0.0
21:50:00,129.990394,129.24339400000002,0.0
21:55:00,128.401613,127.654613,0.0
22:00:00,134.854873,134.10787299999998,0.0
22:05:00,136.648035,135.901035,0.0
22:10:00,135.037579,134.290579,0.0
22:15:00,133.59335800000002,132.846358,0.0
22:20:00,132.02350700000002,131.27650699999998,0.0
22:25:00,131.73567400000002,130.988674,0.0
22:30:00,130.37677200000002,129.629772,0.0
22:35:00,129.24054800000002,128.493548,0.0
22:40:00,127.682574,126.935574,0.0
22:45:00,126.11495099999999,125.36795099999999,0.0
22:50:00,128.256592,127.509592,0.0
22:55:00,123.396945,122.649945,0.0
23:00:00,131.613318,130.866318,0.0
23:05:00,131.476812,130.72981199999998,0.0
23:10:00,128.305835,127.558835,0.0
23:15:00,126.58152299999999,125.83452299999999,0.0
23:20:00,124.855529,124.108529,0.0
23:25:00,124.229453,123.482453,0.0
23:30:00,122.113236,121.366236,0.0
23:35:00,120.51486200000002,119.767862,0.0
23:40:00,119.72143700000001,118.974437,0.0
23:45:00,120.13375600000002,119.38675600000002,0.0
23:50:00,118.09478899999999,117.34778899999999,0.0
23:55:00,117.051728,116.304728,0.0
