ORIGIN_AIRPORT,KG_H2
FAT,17056.189383561647
MMH,168.06161643835617
MRY,3947.971876712329
OAK,140744.2045342466
PSP,26724.454945205485
RDD,675.8012739726028
SFO,828077.7668493151
SJC,129985.49571232879
SMF,119802.0492191781
